商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
沃集鲜/Marketside 丹麦奶酥菠萝包 1盒,8.8,12,https://img30.360buyimg.com/n1//jfs/t28624/303/1277827215/195253/2b7ea5e5/5cdbe972N0d3eb0f6.jpg,自制面包,面包蛋糕
沃集鲜/Marketside 迷你草莓夹心甜甜圈 5个/盒,7.8,21,https://img30.360buyimg.com/n1//jfs/t1/42928/33/13772/234117/5d6e3225Ea4e6546d/1609ba96263cb7fe.jpg,自制面包,面包蛋糕
沃集鲜/Marketside 杂粮水果软欧式面包（个）,12.8,10,https://img30.360buyimg.com/n1//jfs/t1/45910/13/3912/219901/5d19d338E65d6601f/dd269ff50f1587fb.jpg,自制面包,面包蛋糕
沃集鲜/Marketside 黄油菠萝丹麦面包,7.8,16,https://img30.360buyimg.com/n1//jfs/t1/75288/20/3403/162184/5d19d32bE249b95ef/b6e2192786f2f6b9.jpg,自制面包,面包蛋糕
沃集鲜/Marketside 葵花子薄饼(盒) 200g,8.8,18,https://img30.360buyimg.com/n1//jfs/t1/19471/10/8731/134361/5c78efe1Eb88ad23f/9b2d37f79d32afe3.jpg,自制面包,面包蛋糕
沃集鲜/Marketside 黑糖金枕吐司,13.8,4,https://img30.360buyimg.com/n1//jfs/t1/59052/5/2163/181916/5d00d754E56f409eb/87b45066788721cb.jpg,自制面包,面包蛋糕
沃集鲜/Marketside 黑糖手撕包,7.5,11,https://img30.360buyimg.com/n1//jfs/t1/47788/31/9487/219830/5d6e322fE6cf60bf1/a32914b4fc91d7a5.jpg,自制面包,面包蛋糕
沃集鲜/Marketside 蓝莓软欧,12.8,9,https://img30.360buyimg.com/n1//jfs/t1/45584/20/3202/278919/5d10ab68E8b170d14/5a82130727e9b5e8.jpg,自制面包,面包蛋糕
沃集鲜/Marketside 南瓜软欧,12.8,5,https://img30.360buyimg.com/n1//jfs/t1/51594/20/10477/302686/5d79e659Ef7a623a9/da107e789ea32273.jpg,自制面包,面包蛋糕
沃集鲜/Marketside 迷你榴莲夹心甜甜圈 5个/盒,8.8,3,https://img30.360buyimg.com/n1//jfs/t1/42405/4/16089/211413/5d8d691cE2f4fec3b/023447c2f9440c65.jpg,自制面包,面包蛋糕
沃集鲜/Marketside 迷你蓝莓夹心甜甜圈 5个/盒,7.8,3,https://img30.360buyimg.com/n1//jfs/t1/53837/3/11955/223209/5d8d691cE2b2d1b83/fc7193e41243b581.jpg,自制面包,面包蛋糕
沃集鲜/Marketside 迷你奶酪夹心甜甜圈 5个/盒,8.8,6,https://img30.360buyimg.com/n1//jfs/t1/84576/9/11469/228988/5d8d691bE736a4faa/6bc369b1d03ba563.jpg,自制面包,面包蛋糕
沃集鲜/Marketside 黑芝麻麻薯,9.8,8,https://img30.360buyimg.com/n1//jfs/t1/43490/19/13153/125319/5d67b87bEe887e36a/2e5c8264631a5197.jpg,自制面包,面包蛋糕
沃集鲜/Marketside 紫薯麻薯,9.8,7,https://img30.360buyimg.com/n1//jfs/t1/77114/33/8618/118000/5d67b878Ec521cc4e/c08adecce8d3f6ac.jpg,自制面包,面包蛋糕
沃集鲜/Marketside 料理面包组合,6.5,4,https://img30.360buyimg.com/n1//jfs/t9991/299/2917648963/214544/a934c14f/5cdbe94fN1301024e.jpg,自制面包,面包蛋糕
沃集鲜/Marketside 丹麦卡仕达条,6,7,https://img30.360buyimg.com/n1//jfs/t29695/24/1318509496/169202/a85aabaf/5cdbe962Nbd22a445.jpg,自制面包,面包蛋糕
商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
桃李 主食全麦面包 360g,5.8,125,https://img30.360buyimg.com/n1//jfs/t1/68105/37/9165/120139/5d6e3219Ee7d624e1/316e41d612bc2809.jpg,品牌烘焙,面包蛋糕
桃李 鸡蛋香松面包 120g,4.2,54,https://img30.360buyimg.com/n1//jfs/t1/74773/30/9113/104596/5d6e3225E58b61a4d/6afdf7fd1401c9d3.jpg,品牌烘焙,面包蛋糕
美焙辰 全麦吐司面包 8片装 400g,7.5,63,https://img30.360buyimg.com/n1//jfs/t1/69135/31/11419/123796/5d8c415fEda62770c/3bba8abc26c16be4.jpg,品牌烘焙,面包蛋糕
慕兰卡 （moranca） 小白心里软面包1个（口味随机） 20g,1.5,261,https://img30.360buyimg.com/n1//jfs/t1/81027/36/9030/47739/5d6e3219Ebac795a6/18b30a9b40abcd73.jpg,品牌烘焙,面包蛋糕
桃李 包装醇熟（全麦）切片面包 400g,8.8,89,https://img30.360buyimg.com/n1//jfs/t1/75220/8/3275/131072/5d19d29dE32853ec4/88ec2f7a2293a9ce.jpg,品牌烘焙,面包蛋糕
桃李 包装醇熟切片面包 400g,8.2,77,https://img30.360buyimg.com/n1//jfs/t27961/3/444739754/130519/aa143db1/5bf3bfabNa32b8165.jpg,品牌烘焙,面包蛋糕
桃李 包装迷你豆沙面包 5个装 170g,6.2,51,https://img30.360buyimg.com/n1//jfs/t1/75317/2/9188/95345/5d6e3217Ec95c230e/12eb0480a88737dd.jpg,品牌烘焙,面包蛋糕
AJI 长崎蛋糕（北海道牛奶味） 330g,12.8,18,https://img30.360buyimg.com/n1//jfs/t1/24342/39/12490/109054/5c98c37fE00c1dc5c/7eaf290dc365af1c.jpg,品牌烘焙,面包蛋糕
美焙辰 薄皮豆沙包 170g（5枚）,5.5,11,https://img30.360buyimg.com/n1//jfs/t1/74408/31/9185/94718/5d70d4feE6560a176/cdb7d41a485ab278.jpg,品牌烘焙,面包蛋糕
美焙辰 吐司面包  8片装 400g,8.5,13,https://img30.360buyimg.com/n1//jfs/t1/72853/32/11287/135559/5d8c415fE44df5287/ed1189ac52c61eee.jpg,品牌烘焙,面包蛋糕
慕兰卡 小白心里软酸奶味夹心面包 8个/份,10.8,13,https://img30.360buyimg.com/n1//jfs/t1/73336/29/9109/46207/5d6e3230E3f4b8fbe/741f00abdf818781.jpg,品牌烘焙,面包蛋糕
桃李 天然酵母面包（巧克力味） 75g,4.2,14,https://img30.360buyimg.com/n1//jfs/t1/58954/23/3813/89250/5d19d288E5775f2cb/c95c2d62b3608f93.jpg,品牌烘焙,面包蛋糕
美焙辰 红豆抹茶吐司面包 6片装 300g,8.9,6,https://img30.360buyimg.com/n1//jfs/t1/54953/25/11812/105329/5d8c415fE789d90c2/aeae978ae845f857.jpg,品牌烘焙,面包蛋糕
慕兰卡 小白心里软香草味夹心面包 8个/份,10.8,6,https://img30.360buyimg.com/n1//jfs/t1/44315/22/13786/47739/5d6e3230E64ca9d59/00c1c9f7ef6f3a10.jpg,品牌烘焙,面包蛋糕
商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
沃集鲜/Marketside 迷你葡式蛋挞 3个,4.8,66,https://img30.360buyimg.com/n1//jfs/t1/49533/10/9578/74419/5d6e3218E4a186273/6a149c28cc978309.jpg,自制点心,面包蛋糕
沃集鲜/Marketside 咸奶油泡芙,9.8,56,https://img30.360buyimg.com/n1//jfs/t1/56500/8/9870/203309/5d70d4f0Ed69e77b0/031e0d75fb1c3142.jpg,自制点心,面包蛋糕
沃集鲜/Marketside 牛奶奶油泡芙,9.8,32,https://img30.360buyimg.com/n1//jfs/t1/78828/14/12629/202256/5d9dc2a3E21fb4cbc/47c1867d8be37991.jpg,自制点心,面包蛋糕
沃集鲜/Marketside 老婆饼 10粒,9.8,22,https://img30.360buyimg.com/n1//jfs/t1/62578/9/9356/232241/5d70d4f8Eeceeb287/d19022661fa8e67d.jpg,自制点心,面包蛋糕
沃集鲜/Marketside 葡式蛋挞 4个装,8.8,29,https://img30.360buyimg.com/n1//jfs/t1/35927/31/11642/181579/5d0af21bEd45979d7/a88141e5e3ed5e65.jpg,自制点心,面包蛋糕
沃集鲜/Marketside 绿豆饼 5个,6.8,14,https://img30.360buyimg.com/n1//jfs/t1/63476/25/4419/133294/5d283724E1d5de696/092c40134e49b8b5.jpg,自制点心,面包蛋糕
沃集鲜/Marketside 葵花子薄饼(盒) 200g,8.8,18,https://img30.360buyimg.com/n1//jfs/t1/19471/10/8731/134361/5c78efe1Eb88ad23f/9b2d37f79d32afe3.jpg,自制点心,面包蛋糕
沃集鲜/Marketside 榴莲酥 4粒,9.8,7,https://img30.360buyimg.com/n1//jfs/t1/78632/20/9319/104751/5d70d4f0E0c0c4888/baac0e9e96392298.jpg,自制点心,面包蛋糕
沃集鲜/Marketside 奶酪一口酥 6粒,9.8,5,https://img30.360buyimg.com/n1//jfs/t28747/135/1284663336/166003/556f2406/5cdbe821N327d3eaa.jpg,自制点心,面包蛋糕
沃集鲜/Marketside 法式甜点马卡龙,19.8,1,https://img30.360buyimg.com/n1//jfs/t10882/104/2919926578/108265/cfec8eed/5cdbe821N24f6d28f.jpg,自制点心,面包蛋糕
沃集鲜/Marketside 宫廷桃酥 8片,9.8,4,https://img30.360buyimg.com/n1//jfs/t1/70433/9/4399/202516/5d283724E21496587/75d4de9bc3853538.jpg,自制点心,面包蛋糕
