商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
鲁花 压榨特香菜籽油 4L,73.6,82,https://img30.360buyimg.com/n1//jfs/t1/76838/3/6581/108125/5d4b8482E69dd12f3/9c28e44936f71d16.jpg,食用油,粮油副食
西王 玉米胚芽油 900ml,23,60,https://img30.360buyimg.com/n1//jfs/t29821/234/246473786/57892/6166cb68/5beccf4cN7c5e948d.jpg,食用油,粮油副食
手標 纯正菜籽油 5L,36.5,147,https://img30.360buyimg.com/n1//jfs/t1/61236/18/1291/86540/5cf8c7e4Edc8c0d55/eee826d990dc3376.jpg,食用油,粮油副食
金龙鱼 外婆乡小榨菜籽油 5L,88.8,46,https://img30.360buyimg.com/n1//jfs/t1/58622/36/7195/130825/5d4d43d2Ebeb7fd6b/d2bd57f36122dda9.jpg,食用油,粮油副食
鲁花 5S压榨一级花生油 4L,124.8,34,https://img30.360buyimg.com/n1//jfs/t1/62241/38/6579/119523/5d4b847cE966c2584/c594d6c382fbfd89.jpg,食用油,粮油副食
金龙鱼 稻米油 700ml,10,27,https://img30.360buyimg.com/n1//jfs/t1/79231/20/9969/56358/5d78a38bE02e4502c/a7eed16830a4cecd.jpg,食用油,粮油副食
鲤鱼 四川小榨风味菜籽油+正宗原香菜籽油 5L+400ml,79.8,23,https://img30.360buyimg.com/n1//jfs/t1/60705/2/6706/127941/5d4d47a5E06436226/28ac3219bd1374bd.jpg,食用油,粮油副食
金龙鱼 黄金比例食用调和油 5L,69.9,23,https://img30.360buyimg.com/n1//jfs/t1/67084/2/9157/133920/5d6f7a15E12ab35e7/c9b41ee63677b36b.jpg,食用油,粮油副食
福临门 纯香菜籽油 5L,55.8,26,https://img30.360buyimg.com/n1//jfs/t29941/223/1379809849/78849/71c10d05/5cdd3da2N510b6168.jpg,食用油,粮油副食
金龙鱼 纯香菜籽油 5L,68.8,15,https://img30.360buyimg.com/n1//jfs/t1/52377/19/7201/114846/5d4d4356E097f4c2d/eaf22592bb939f14.jpg,食用油,粮油副食
金龙鱼 菜籽油 1.8L,29.8,12,https://img30.360buyimg.com/n1//jfs/t1/49878/39/7302/103463/5d4d4346Ea4bad215/572cf08fd47f51eb.jpg,食用油,粮油副食
鲁花 压榨葵花仁油 5L,79.8,20,https://img30.360buyimg.com/n1//jfs/t1/44286/16/11399/111584/5d4b8480E45b5a6ba/51df6092d7866bec.jpg,食用油,粮油副食
惠宜 葵花籽油 900ml,10,3,https://img30.360buyimg.com/n1//jfs/t1/67542/1/10018/65407/5d78a37cE763c711c/d888fc494a1ec8e4.jpg,食用油,粮油副食
金龙鱼 优选花生油 900ml,23.9,19,https://img30.360buyimg.com/n1//jfs/t1/67821/37/6844/62274/5d4d43bcE56f8b6dd/f49aff0814d39e32.jpg,食用油,粮油副食
长寿花 金胚玉米油 4L,79.9,13,https://img30.360buyimg.com/n1//jfs/t1/81565/39/10092/103433/5d79df90E05f8b5fe/030041f5b23ac60b.jpg,食用油,粮油副食
金龙鱼 纯香菜籽油 5L,59.9,16,https://img30.360buyimg.com/n1//jfs/t1/56725/34/7256/101923/5d4d435fE7d40ec5b/946731a17545a4ba.jpg,食用油,粮油副食
惠宜 初榨橄榄油 500ml,29.9,17,https://img30.360buyimg.com/n1//jfs/t1/56145/13/10446/59834/5d78a377Eba6f6d3d/e86f054e45aaf19a.jpg,食用油,粮油副食
千禾 芝麻香油 405ml,29.8,13,https://img30.360buyimg.com/n1//jfs/t1/56015/16/7151/69637/5d4b8a2fEc7ff9fff/6d4aed7bc41cce1a.jpg,食用油,粮油副食
福临门 压榨玉米油 5L,79,13,https://img30.360buyimg.com/n1//jfs/t1/76598/22/10007/113515/5d78a35aE5296290f/a7c6572e78ac3dde.jpg,食用油,粮油副食
福临门 纯正玉米油 5L,52.8,17,https://img30.360buyimg.com/n1//jfs/t1/81288/24/804/93615/5cf0a885E914423f7/9eaf8b0f228a4309.jpg,食用油,粮油副食
鲁花 5S压榨一级花生油 5.436L （新旧规格随机发货）,159.8,17,https://img30.360buyimg.com/n1//jfs/t1/60436/1/9701/749699/5d75d914E0294a8ab/0a0cf7bf8c0b5cda.jpg,食用油,粮油副食
金龙鱼 黄金比例1:1:1食用调和油 5L（新旧规格随机发货）,59.9,20,https://img30.360buyimg.com/n1//jfs/t1/45953/28/9828/100558/5d71c181Ef9693ca9/0cd9edad6d1735da.jpg,食用油,粮油副食
天府 菜籽油 5L,79.9,2,https://img30.360buyimg.com/n1//jfs/t1/71856/19/6513/87963/5d498c50Ee6cf16e2/3e2cbeb57b7759bc.jpg,食用油,粮油副食
鲁花 压榨特香菜籽油 10L,159.9,3,https://img30.360buyimg.com/n1//jfs/t1/83780/23/6720/113405/5d4bbb02E83ee89da/b7f6706377a72c65.jpg,食用油,粮油副食
鲤鱼 正宗原香菜籽油 5L,116,5,https://img30.360buyimg.com/n1//jfs/t1/43780/4/11399/123573/5d4d47a4E1b4a0968/6bb30166c24ac570.jpg,食用油,粮油副食
金龙鱼 黄金比例食用植物调和油 4L,49.9,1,https://img30.360buyimg.com/n1//jfs/t1/70596/34/6765/110825/5d4d43afE797a47aa/0e075e3a00099b31.jpg,食用油,粮油副食
